Format,Title,Artist,Release Year,Genre(s),Country,RIYL,Location (Shelf),Album Cover URL
Record,Cafe Music Vol 5,Kim Hee Gap,1985,folk,South Korea,Lim Ju-Ri,,https://i.discogs.com/2lAyseYtrbN9tZKSt333xQKpeFCEqTBVP0WWdi-rtuI/rs:fit/g:sm/q:90/h:594/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE4NDI0/NTY0LTE2MTkxODY0/MzQtMzc2Ny5qcGVn.jpeg
Record,Ho'olu,The Waiehu Sons,1979,"folk, hawaii",USA,The Brothers Cazimero,,https://i.discogs.com/UBYCiFx_yPfN4Fp-E5Qd1Ta0rxmd1SFni8jOcQO7u0M/rs:fit/g:sm/q:90/h:600/w:596/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTUxNDE0/OTgtMTM4NTYxMDcz/Mi0xNjAzLmpwZWc.jpeg
Record,Hawaiian Hula Eyes,The Brothers Cazimero,1982,"folk, hawaii",USA,The Waiehu Sons,,https://i.scdn.co/image/ab67616d0000b2733f9c394347163e0fe3178716
Record,Street Player,"Chaka Khan, Rufus",1978,"funk, soul, r&b",USA,"Diana Ross, Patrice Rushen",,https://i.scdn.co/image/ab67616d0000b2738bb813e2c82327fd6acb59a5
Record,Shaft,Isaac Hayes,1971,"soundtrack, prog. soul, psych. soul",USA,Curtis Mayfield,,https://upload.wikimedia.org/wikipedia/en/3/34/Shaft_cover.jpg
Record,My Goal's Behind,John McLaughlin,1971,"jazz fusion, indo jazz",USA,"Mahavishnu Orchestra, Shakti",,https://upload.wikimedia.org/wikipedia/en/7/70/My_Goal%27s_Beyond_Cover.jpg
Record,Briefcase Full of Blues,Blues Brothers ,1978,"blues, blues rock",USA,Stevie Ray Vaughan,,https://upload.wikimedia.org/wikipedia/en/e/ea/BriefcaseFullofBlues.jpg
Record,Some Girls,The Rolling Stones,1978,rock,UK,Led Zeppelin,,"https://m.media-amazon.com/images/I/81qlp9emRVL._UF1000,1000_QL80_.jpg"
Record,Trumpet in Napoli,Eddie Caruso,,jazz,Italy,Piero Picconi,,https://i.discogs.com/f6la27MLUdNycJxByiLMems47QtKClavSDEQ_HDRPvw/rs:fit/g:sm/q:90/h:600/w:588/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE0Nzcy/MDQ4LTE1ODEyNzk1/ODgtOTY2NC5qcGVn.jpeg
Record,Breezin',George Benson,1976,"jazz, smooth jazz",USA,Al Jarreau,,"https://m.media-amazon.com/images/I/71Of42fnhQL._UF1000,1000_QL80_.jpg"
Record,Blonde,Frank Ocean,2016,"r&b, neo soul, art pop",USA,"Daniel Caesar, Steve Lacy, SZA",,https://e.snmc.io/i/1200/s/b87c642396fa611ceedfaf27ff52a74d/8060362
Record,Greatest Hits,The Byrds,1967,"folk rock, psych. rock",USA,"Buffalo Springfield,  The Kinks",,https://upload.wikimedia.org/wikipedia/en/c/ce/ByrdsGHCover.jpg
Record,Claudine,Claudine Longet,1967,"pop, french pop, bossa nova",France,Triste Janero,,https://i.ebayimg.com/images/g/MrEAAOSwy2tdFDKC/s-l400.jpg
Record,South of the Border,Herb Alpert's Tijuana Brass,1964,"jazz, easy listening, chill",USA,Sergio Mendes,,https://m.media-amazon.com/images/I/814zY0evTNL.jpg
Record,Exotica,Martin Denny,1957,exotica,USA,Les Baxter,,https://upload.wikimedia.org/wikipedia/en/e/e9/Exoticamartindenny.jpg
